λ,Kдоцільн,Тзалишк,Група,Стан,Рейтинг,Будів,Реконстр,Ремонт,Обстеж,Дорога,Назва моста,км,плюс,Проект,Довжина,Тип,Категорія,Код,Матеріал,КодМатеріал,Обл,Назва області
0.035833,22.325581,38,3,2,80,1984,,,2008,Р-20,Міст на км 21 + 098 потік с.Ясенiв-Пільний,21,98,,6,1,3,44981,Залізобетон,2,9,Івано-Франківська область
,,,,1,100,2005,,,2005,Р-20,Міст на км 49 + 600 p.Чоpний Пoтік с. Незвисько,49,600,,37,1,3,44983,Залізобетон,2,9,Івано-Франківська область
0.029535,23.700787,32,3,3,70,1950,1965,,2008,Р-20,Міст на км 70 + 525 р.Тлумачик с.Гончарівка,70,525,Типовий проект,18.4,1,3,44996,Залізобетон,2,9,Івано-Франківська область
0.029535,24.03937,32,3,3,71,1965,,,2008,Р-20,Міст на км 86 + 198 потік с. Милування,86,198,,6,1,3,44990,Залізобетон,2,9,Івано-Франківська область
0.020976,39.093023,65,3,2,82,1935,1967,,2008,Р-20,Міст на км 88 + 540 потік с. Рошнiв,88,540,,9,1,3,44992,Залізобетон,2,9,Івано-Франківська область
0.045357,16.755906,21,2,3,76,1935,1980,,2008,Р-20,Міст на км 89 + 800 потік с. Рошнiв,89,800,Типовий проект,6,1,3,44993,Залізобетон,2,9,Івано-Франківська область
0.635,1.11811,1,1,3,71,1934,2006,,2008,Р-20,Міст на км 96 + 777 потік с.Побеpежжя,96,777,,7,1,3,44995,Залізобетон,2,9,Івано-Франківська область
0.024571,32.965116,56,3,2,81,1934,1973,,2008,Р-20,Міст на км 106 + 848 потік с. Сілець,106,848,,4,1,4,44988,Залізобетон,2,9,Івано-Франківська область
0.036286,20.944882,26,2,3,76,1934,1973,,2008,Р-20,Міст на км 107 + 060 потік с.Сілець,107,60,Типовий проект,6,1,3,44989,Залізобетон,2,9,Івано-Франківська область
0.028864,24.251969,33,3,3,70,1962,,,2006,Р-21,Міст на км 6 + 36 потiк с.Вигода,6,36,,12,1,2,45008,Залізобетон,2,9,Івано-Франківська область
0.028864,27.023622,33,3,3,78,1962,,,2006,Р-21,Міст на км 7 + 935 p.Свіча с.Вигода,7,935,Типовий проект,111.12,1,2,45009,Залізобетон,2,9,Івано-Франківська область
0.060476,11.905512,16,2,3,72,1962,1985,,2006,Р-21,Міст на км 12 + 123 р.Окниця с.Шевченково,12,123,Типовий проект,32.9,1,2,44997,Залізобетон,2,9,Івано-Франківська область
0.029535,23.023622,32,3,3,68,1963,,,2006,Р-21,Міст на км 19 + 829 потiк с.Шевченково,19,829,,6,1,3,44998,Залізобетон,2,9,Івано-Франківська область
0.030238,21.826772,32,3,3,66,1964,,,2006,Р-21,Міст на км 22 + 748 потiк с.Мислівка,22,748,,6,1,3,44999,Залізобетон,2,9,Івано-Франківська область
0.030238,24.472441,32,3,3,74,1964,,,2006,Р-21,Міст на км 23 + 935 потiк с.Шевченкове,23,935,,6,1,3,45000,Залізобетон,2,9,Івано-Франківська область
0.030238,22.818898,32,3,3,69,1964,,,2006,Р-21,Міст на км 30 + 688 р.Свіча с.Мислівка,30,688,,11.5,1,3,45001,Залізобетон,2,9,Івано-Франківська область
0.115455,5.889764,8,1,3,68,1964,1995,,2006,Р-21,Міст на км 31 + 26 р.Свіча с.Мислівка,31,26,,12,1,3,45002,Залізобетон,2,9,Івано-Франківська область
0.030238,22.818898,32,3,3,69,1964,,,2006,Р-21,Міст на км 31 + 830 р.Свіча с.Мислівка,31,830,,24,1,3,45003,Залізобетон,2,9,Івано-Франківська область
0.030238,22.488189,32,3,3,68,1964,,,2006,Р-21,Міст на км 33 + 958 потiк с.Мислівка,33,958,,3.8,1,3,45004,Залізобетон,2,9,Івано-Франківська область
0.115455,5.976378,8,1,3,69,1963,1995,,2006,Р-21,Міст на км 34 + 374 потік с.Вишків,34,374,,11.92,1,3,45005,Залізобетон,2,9,Івано-Франківська область
0.115455,5.889764,8,1,3,68,1964,1995,,2006,Р-21,Міст на км 35 + 519 р.Свіча с.Мислівка,35,519,,24.1,1,3,45006,Залізобетон,2,9,Івано-Франківська область
0.115455,5.976378,8,1,3,69,1963,1995,,2006,Р-21,Міст на км 41 + 963 потік с.Вишків,41,963,,12,1,3,45007,Залізобетон,2,9,Івано-Франківська область
0.037353,16.330709,25,2,3,61,1974,,,2008,Р-24,Міст на км 0+178 р.Прутець с.Татарів,0,178,Типовий проект,48.1,1,3,45028,Залізобетон,2,9,Івано-Франківська область
0.034324,19.228346,28,3,3,66,1971,,,2008,Р-24,Міст на км 4 + 443 потік cмт. Воpохта,4,443,Типовий проект,6.3,1,3,45039,Залізобетон,2,9,Івано-Франківська область
0.030238,17.527559,32,3,3,53,1966,,,2008,Р-24,Міст на км 5+831 потік смт.Ворохта,5,831,Типовий проект,12,1,3,45040,Залізобетон,2,9,Івано-Франківська область
0.030976,18.07874,31,3,3,56,1967,,,2008,Р-24,Міст на км 7+856  р.Войтул смт. Ворохта,7,856,Типовий проект,23.3,1,3,45041,Залізобетон,2,9,Івано-Франківська область
0.038485,16.889764,25,2,3,65,1975,,,2008,Р-24,Міст на км 8 + 446 p. Пpут смт. Воpохта,8,446,,35,1,3,45042,Залізобетон,2,9,Івано-Франківська область
0.030976,21.952756,31,3,3,68,1967,,,2008,Р-24,Міст на км 10 + 481 потік смт. Воpохта,10,481,Типовий проект,14,1,3,45031,Залізобетон,2,9,Івано-Франківська область
0.030976,22.275591,31,3,3,69,1967,,,2008,Р-24,Міст на км 14 + 746 потік смт. Воpохта,14,746,Типовий проект,20,1,3,45032,Залізобетон,2,9,Івано-Франківська область
0.03175,17.322835,30,3,3,55,1968,,,2008,Р-24,Міст на км 16 + 391 р. Мачура смт. Воpохта,16,391,Типовий проект,20,1,3,45035,Залізобетон,2,9,Івано-Франківська область
0.03175,18.267717,30,3,3,58,1968,,,2008,Р-24,Міст на км 16 + 761 р. Мачура смт. Воpохта,16,761,Типовий проект,12,1,3,45036,Залізобетон,2,9,Івано-Франківська область
0.032564,14.740157,29,3,3,48,1969,,,2008,Р-24,Міст на км 16+848 р.Мачура смт.Ворохта,16,848,Типовий проект,18.8,1,3,45037,Залізобетон,2,9,Івано-Франківська область
0.019545,42.465116,70,3,2,83,1964,,,2008,Р-24,Міст на км 21+560  потік с.Кривопілля,21,560,,30,1,3,44597,Кам`яна (цегляна) кладка і залізобетон,32,9,Івано-Франківська область
0.019545,42.465116,70,3,2,83,1964,,,2008,Р-24,Міст на км 22+675  потік с.Кривопілля,22,675,Типовий проект,11.4,1,3,44598,Залізобетон,2,9,Івано-Франківська область
0.033421,20.944882,29,3,3,70,1970,,,2008,Р-24,Міст на км 24+190  р.Кострича с.Кривопілля,24,190,Типовий проект,16,1,3,44599,Залізобетон,2,9,Івано-Франківська область
0.022632,35.348837,60,3,2,80,1970,,,2008,Р-24,Міст на км 24+966  р.Кострича с.Кривопілля,24,966,Типовий проект,19.4,1,3,44600,Залізобетон,2,9,Івано-Франківська область
0.033421,20.346457,29,3,3,68,1970,,,2008,Р-24,Міст на км 26+870  р.Кострича с.Кривопілля,26,870,Типовий проект,18,1,3,44601,Залізобетон,2,9,Івано-Франківська область
0.022051,36.27907,62,3,2,80,1969,,,2008,Р-24,Міст на  км 30+478  р.Кострича с.Ільці,30,478,,84.3,1,3,44593,Залізобетон,2,9,Івано-Франківська область
0.030976,16.787402,31,3,3,52,1967,,,2008,Р-24,Міст на км 36+036 р.Грабовець с.Ільці,36,36,Типовий проект,6,1,3,44602,Залізобетон,2,9,Івано-Франківська область
0.030976,20.015748,31,3,3,62,1967,,,2008,Р-24,Міст на км 37+279  потік смт.Верховина,37,279,Типовий проект,6.5,1,3,44603,Залізобетон,2,9,Івано-Франківська область
0.03175,20.472441,30,3,3,65,1968,,,2008,Р-24,Міст на  км 37+458  потік смт.Верховина,37,458,Типовий проект,6,1,3,44594,Залізобетон,2,9,Івано-Франківська область
0.040385,10.647619,3,2,5,43,1956,,,2008,Р-24,Міст на км 43+930  р.Бережниця с.Криворівня,43,930,Типовий проект,36,1,3,44604,Залізобетон,2,9,Івано-Франківська область
0.15875,3.338583,6,1,3,53,2000,,,2008,Р-24,Міст на км 46+360  Р.Чорний Черемош с.Верхній Ясенів,46,360,,39,1,3,44605,Метал,4,9,Івано-Франківська область
0.03175,19.84252,30,3,3,63,1968,,,2008,Р-24,Міст на км  48+075  р.Буковець с.Верхній Ясенів,48,75,Типовий проект,11,1,3,44596,Залізобетон,2,9,Івано-Франківська область
0.03175,17.007874,30,3,3,54,1968,,,2008,Р-24,Міст на км 49+035  р.Буковець с.Буковець,49,35,Типовий проект,9,1,3,44606,Залізобетон,2,9,Івано-Франківська область
0.03175,18.897638,30,3,3,60,1968,,,2008,Р-24,Міст на км 49+176  р.Буковець с.Буковець,49,176,Типовий проект,10.5,1,3,44607,Залізобетон,2,9,Івано-Франківська область
0.03175,22.047244,30,3,3,70,1968,,,2008,Р-24,Міст на км 49+274  р.Буковець с.Буковець,49,274,Типовий проект,6,1,3,44608,Залізобетон,2,9,Івано-Франківська область
0.028864,22.173228,33,3,3,64,1964,,,2008,Р-24,Міст на км 49+860  потік с.Буковець,49,860,Типовий проект,3,1,3,44609,Залізобетон,2,9,Івано-Франківська область
0.028864,21.133858,33,3,3,61,1964,,,2008,Р-24,Міст на км 50+261  потік с. Буковець,50,261,Типовий проект,15,1,3,44610,Залізобетон,2,9,Івано-Франківська область
0.028222,21.259843,34,3,3,60,1960,1964,,2009,Р-24,Міст на км 50+366  р.Рибниця с.Буковець,50,366,Типовий проект,126,1,3,44611,Залізобетон,2,9,Івано-Франківська область
0.05,9.4,2,2,5,47,1967,,,2009,Р-24,Міст на км 51+005 р.Рибниця с.Буковець,51,5,,58.1,1,3,44612,Залізобетон,2,9,Івано-Франківська область
0.024902,20.88189,38,3,3,52,1958,,,2009,Р-24,Міст на км 51+360  потік с.Буковець,51,360,,12,1,3,44613,Залізобетон,2,9,Івано-Франківська область
0.027609,24.992126,35,3,3,69,1962,,,2008,Р-24,Міст  на км 51+469  потік с.Буковець,51,496,Типовий проект,6,1,3,44592,Залізобетон,2,9,Івано-Франківська область
0.010417,76.8,166,3,1,80,1960,,,2008,Р-24,Міст на км 55+413 р.Рибниця с.Буковець,55,413,,16.3,1,3,44614,Кам`яна кладка,5,9,Івано-Франківська область
0.031509,19.676647,18,3,4,62,1956,,,2009,Р-24,МІст на  км 55+451 р. Рибниця с.Буковець,55,451,,31,1,3,44595,Кам`яна кладка,5,9,Івано-Франківська область
0.014828,49.906977,93,3,2,74,1950,,,2008,Р-24,Міст на км 55 + 877 водотік с.Явоpiв,55,877,,6,1,3,45043,Залізобетон,2,9,Івано-Франківська область
0.022679,30.866142,42,3,3,70,1952,,,2008,Р-24,Міст на км 56 + 581 p.Рибниця с.Явоpiв,56,581,,18,1,3,45044,Сталезалізобетон,24,9,Івано-Франківська область
0.029821,19.449102,19,3,4,58,1952,,,2008,Р-24,Міст на км 56 + 766 p.Рибниця с.Явоpiв,56,766,,13,1,3,45045,Кам`яна кладка,5,9,Івано-Франківська область
0.023519,27.637795,41,3,3,65,1954,,,2008,Р-24,Міст на км 56 + 869 p.Рибниця с.Явоpiв,56,869,,13,1,3,45046,Кам`яна (цегляна) кладка і залізобетон,32,9,Івано-Франківська область
0.011905,71.4,146,3,1,85,1966,,,2008,Р-24,Міст на км 64 + 176 p.Рибниця с.Явоpiв,64,176,Типовий проект,30,1,3,45053,Залізобетон,2,9,Івано-Франківська область
0.022679,31.307087,42,3,3,71,1952,,,2008,Р-24,Міст на км 72 + 082 р.Рибниця м.Косів,72,82,,12,1,3,45057,Кам`яна кладка,5,9,Івано-Франківська область
0.028222,21.968504,34,3,3,62,1912,1963,,2008,Р-24,Міст на км 101+398  потік Мишин,101,398,,7.2,1,3,45014,Залізобетон,2,9,Івано-Франківська область
0.115455,6.322835,8,1,3,73,1967,1997,,2008,Р-24,МІст на км 103+137 потік Мишин,103,137,Типовий проект,18.05,1,3,45015,Залізобетон,2,9,Івано-Франківська область
0.074706,9.23622,12,1,3,69,1966,1991,,2008,Р-24,Мціст на км 106+058 потік с.Верхній Вербіж,106,58,Типовий проект,12,1,3,45027,Залізобетон,2,9,Івано-Франківська область
0.0625,14.56,27,2,1,91,2000,,,2008,Р-24,Міст на км 108+231 р.Сопівка с.Нижній Вербіж,108,231,Типовий проект,4,1,3,45016,Залізобетон,2,9,Івано-Франківська область
,,,,1,91,1998,2007,,2008,Р-24,Міст на км 109+802  р.Прут м.Коломия,109,802,,169.46,1,3,45017,Сталезалізобетон,24,9,Івано-Франківська область
0.023519,27.212598,41,3,3,64,1954,,,2008,Р-24,Міст на км 117+175 р.Коломийка с.Королівка,117,175,Типовий проект,26.3,1,3,45018,Залізобетон,2,9,Івано-Франківська область
0.028864,21.133858,33,3,3,61,1964,,,2008,Р-24,Міст на км 121+183 потік с.Пядики,121,183,Типовий проект,18.1,1,3,45019,Залізобетон,2,9,Івано-Франківська область
0.031852,25.116279,43,3,2,80,1981,,,2008,Р-24,Міст на км 124+453  потік с.Ценява,124,453,Типовий проект,6,1,3,45020,Залізобетон,2,9,Івано-Франківська область
0.017917,43.534884,76,3,2,78,1960,,,2008,Р-24,Міст на км 124+960  потік с.Ценява,124,960,,4,1,3,45021,Залізобетон,2,9,Івано-Франківська область
0.028864,22.173228,33,3,3,64,1964,,,2008,Р-24,Міст на км 128+883 р.Турка с.Підгайчики,128,883,Типовий проект,19.5,1,3,45022,Залізобетон,2,9,Івано-Франківська область
0.070556,9.637795,13,1,3,68,1990,,,2008,Р-24,Міст на км 132+944  потік с.Старий  Гвіздець,132,944,Типовий проект,6,1,3,45023,Залізобетон,2,9,Івано-Франківська область
0.070556,9.637795,13,1,3,68,1952,1990,,2008,Р-24,Міст на км 136+898  потік с.Гвіздець,136,898,Типовий проект,6,1,3,45024,Залізобетон,2,9,Івано-Франківська область
0.024902,26.503937,38,3,3,66,1957,,,2008,Р-24,Міст на км 137+009  потік с.Гвіздець,137,9,Типовий проект,34.27,1,3,45025,Залізобетон,2,9,Івано-Франківська область
0.024902,26.102362,38,3,3,65,1957,,,2008,Р-24,Міст на км 140 + 979 потік с. Беремяни,140,979,Типовий проект,5,1,3,45026,Залізобетон,2,9,Івано-Франківська область
0.090714,8.598425,10,1,3,78,1977,1994,,2008,Р-24,Міст на км 171 + 978 р. Дністер с. Устечко,171,978,,402.8,1,3,45013,Залізобетон,2,9,Івано-Франківська область
0.084667,8.503937,11,1,3,72,1966,1993,,2008,Р-38,Міст на км 1 + 818 р. Бистриця Солотвинська с. Пiдгip'я,1,818,Типовий проект,128.6,1,3,45068,Залізобетон,2,9,Івано-Франківська область
0.084667,7.086614,11,1,3,60,1949,1993,,2008,Р-38,Міст на км 1 + 926 потік с. Підгір'я,1,926,,6,1,3,45069,Залізобетон,2,9,Івано-Франківська область
0.021525,27.874016,45,3,3,60,1949,,,2008,Р-38,Міст на км 2 + 738 потік с. Дзвиняч,2,738,,3,1,3,45075,Залізобетон,2,9,Івано-Франківська область
0.043947,12.287425,12,2,4,54,1970,,,2008,Р-38,Міст на км 11 + 595 потік с.Дзвиняч,11,595,,3,1,3,45070,Залізобетон,2,9,Івано-Франківська область
0.033421,20.944882,29,3,3,70,1970,,,2008,Р-38,Міст на км 12 + 176 потік с.Дзвиняч,12,176,Типовий проект,6,1,3,45071,Залізобетон,2,9,Івано-Франківська область
0.039688,17.133858,24,2,3,68,1938,1976,,2008,Р-38,Міст на км 13 + 928 потік смт. Солотвино,13,928,Типовий проект,12,1,3,45072,Залізобетон,2,9,Івано-Франківська область
0.018406,35.314961,52,3,3,65,1939,,,2008,Р-38,Міст на км 15 + 372 потік смт. Солотвино,15,372,,12,1,3,45073,Залізобетон,2,9,Івано-Франківська область
0.040968,16.354331,23,2,3,67,1977,,,2008,Р-38,Міст на км 15 + 915 потік смт. Солотвино,15,915,Типовий проект,12,1,3,45074,Залізобетон,2,9,Івано-Франківська область
0.0635,10.708661,15,2,3,68,1988,,,2008,Р-38,Міст на км 23 + 258 потік с.Яблунька,23,258,,6,1,3,45080,Залізобетон,2,9,Івано-Франківська область
0.057727,11.952756,16,2,3,69,1986,,,2008,Р-38,Міст на км 28 + 904 p. Бистриця Солотвинська с. Поpоги,28,904,Типовий проект,127.9,1,3,45082,Залізобетон,2,9,Івано-Франківська область
0.018143,36.929134,53,3,3,67,1938,,,2008,Р-38,Міст на км 33 + 334 потік с. Стара Гута,33,334,,6,1,3,45085,Залізобетон,2,9,Івано-Франківська область
0.034324,20.393701,28,3,3,70,1970,,,2007,Р-62,Міст на км 1 + 321 потік с.Верхній Ясеніів,1,321,,6,1,4,45088,Залізобетон,2,9,Івано-Франківська область
0.034324,20.393701,28,3,3,70,1970,,,2007,Р-62,Міст на км 1 + 874 потік с.Верхній Ясенів,1,874,,6,1,4,45089,Залізобетон,2,9,Івано-Франківська область
0.034324,20.393701,28,3,3,70,1970,,,2007,Р-62,Міст на км 3 + 084 потік с.Верхній Ясенів,3,84,,6,1,4,45092,Залізобетон,2,9,Івано-Франківська область
0.039688,17.637795,24,2,3,70,1975,,,2007,Р-62,Міст на км 3 + 931 потік с.Ясенів,3,931,,6,1,4,45093,Залізобетон,2,9,Івано-Франківська область
0.045357,14.330709,21,2,3,65,1979,,,2007,Р-62,Міст на км 10 + 307 потік с.Устеріки,10,307,,6,1,4,45090,Залізобетон,2,9,Івано-Франківська область
0.141111,5.173228,6,1,3,73,1998,,,2007,Р-62,Міст на км 13 + 839 р. Черемош с. Барвінків,13,839,,107,1,4,45091,Метал,4,9,Івано-Франківська область
0.033421,20.645669,29,3,3,69,1969,,,2007,Р-62,Міст на км 35 + 038 потік с.Великий Рожен,35,38,,34.31,1,3,44640,Залізобетон,2,9,Івано-Франківська область
0.035278,19.559055,27,3,3,69,1964,1971,,2007,Р-62,Міст на км 38 + 154 потік с.Тюдів,38,154,,30,1,3,44641,Залізобетон,2,9,Івано-Франківська область
